IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
78.182.0.139,78.182.0.139.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.0.205,78.182.0.205.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.2.74,78.182.2.74.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.2.215,78.182.2.215.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.2.233,78.182.2.233.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.3.147,78.182.3.147.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.4.41,78.182.4.41.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.5.67,78.182.5.67.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.5.117,78.182.5.117.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.5.234,78.182.5.234.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.5.253,78.182.5.253.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.6.126,78.182.6.126.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.6.244,78.182.6.244.dynamic.ttnet.com.tr,"Linux 2.6.14 - 2.6.30",97
78.182.8.225,78.182.8.225.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",96
78.182.10.28,78.182.10.28.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.10.228,78.182.10.228.dynamic.ttnet.com.tr,"OpenWrt (Linux 2.4.32)",94
78.182.11.59,78.182.11.59.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.12.0,78.182.12.0.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.12.74,78.182.12.74.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.13.38,78.182.13.38.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.14.80,78.182.14.80.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",97
78.182.14.111,78.182.14.111.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.15.78,78.182.15.78.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.15.150,78.182.15.150.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.15.213,78.182.15.213.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.65.46,78.182.65.46.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.67.147,78.182.67.147.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.71.173,78.182.71.173.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.76.231,78.182.76.231.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.82.141,78.182.82.141.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.91.198,78.182.91.198.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.97.87,78.182.97.87.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.102.110,78.182.102.110.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.103.30,78.182.103.30.dynamic.ttnet.com.tr,"Acorp W400G or W422G wireless ADSL modem (MontaVista embedded Linux 2.4.17)",91
78.182.105.160,78.182.105.160.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.107.223,78.182.107.223.dynamic.ttnet.com.tr,"Linksys RV042 router",96
78.182.116.234,78.182.116.234.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.129.217,78.182.129.217.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.134.59,78.182.134.59.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.135.24,78.182.135.24.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.135.40,78.182.135.40.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.135.48,78.182.135.48.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.135.211,78.182.135.211.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.136.170,78.182.136.170.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.139.5,78.182.139.5.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.139.69,78.182.139.69.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.139.125,78.182.139.125.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.140.56,78.182.140.56.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.140.122,78.182.140.122.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.141.244,78.182.141.244.dynamic.ttnet.com.tr,"OpenWrt White Russian 0.9 (Linux 2.4.30)",95
78.182.142.126,78.182.142.126.dynamic.ttnet.com.tr,"Linux 2.4.33 (embedded)",98
78.182.143.116,78.182.143.116.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.143.193,78.182.143.193.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.144.129,78.182.144.129.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.144.143,78.182.144.143.dynamic.ttnet.com.tr,"ADSL router: Huawei MT800u-T; or ZyXEL Prestige 623ME-T1, 643, 662HW-61, 782, or 2602R-61",96
78.182.145.194,78.182.145.194.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",97
78.182.146.35,78.182.146.35.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",96
78.182.148.153,78.182.148.153.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.150.67,78.182.150.67.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.150.139,78.182.150.139.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.151.179,78.182.151.179.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.151.241,78.182.151.241.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.152.232,78.182.152.232.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.153.77,78.182.153.77.dynamic.ttnet.com.tr,"Linksys RV042 router",94
78.182.153.188,78.182.153.188.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.154.230,78.182.154.230.dynamic.ttnet.com.tr,"ZyXEL Prestige 660R ADSL router",98
78.182.155.26,78.182.155.26.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.155.156,78.182.155.156.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.155.241,78.182.155.241.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.156.174,78.182.156.174.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.156.182,78.182.156.182.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.157.78,78.182.157.78.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.157.112,78.182.157.112.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.158.54,78.182.158.54.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",96
78.182.158.248,78.182.158.248.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.159.5,78.182.159.5.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",96
78.182.159.7,78.182.159.7.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.159.37,78.182.159.37.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.159.171,78.182.159.171.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.162.69,78.182.162.69.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.162.206,78.182.162.206.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.167.131,78.182.167.131.dynamic.ttnet.com.tr,"AVM FRITZ!Box FON WLAN 7170 WAP (Linux 2.6.13)",89
78.182.168.140,78.182.168.140.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.170.152,78.182.170.152.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.170.240,78.182.170.240.dynamic.ttnet.com.tr,"Linksys RV042 router",96
78.182.170.251,78.182.170.251.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.171.112,78.182.171.112.dynamic.ttnet.com.tr,"Linksys RV042 router",97
78.182.172.97,78.182.172.97.dynamic.ttnet.com.tr,"Linksys RV042 router",97
