IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
100.112.87.139,,VxWorks,99
100.115.113.99,,VxWorks,99
101.108.101.200,,"Android 2.0.1 (Linux 2.6)",96
101.108.101.201,,"ADSL router: Huawei MT800u-T; or ZyXEL Prestige 623ME-T1, 643, 662HW-61, 782, or 2602R-61",94
101.108.105.6,,"OpenWrt (Linux 2.4.32)",94
101.108.106.99,,"ZyXEL ZyNOS 3.40",97
101.108.112.109,,"Linux 2.6.15 - 2.6.27",99
101.108.115.2,,"Android 2.0.1 (Linux 2.6)",96
101.108.162.189,,"OpenWrt (Linux 2.4.32)",94
101.108.175.182,,"Linux 2.6.15 - 2.6.27",97
101.108.197.164,,"OpenWrt (Linux 2.4.32)",94
101.108.202.201,,"Linux 2.6.32",95
101.108.205.16,,"OpenWrt (Linux 2.4.32)",94
101.108.223.59,,"Linksys WRV54G WAP",96
101.108.224.61,,"Linux 2.6.9",92
101.108.2.252,,"ADSL router: Huawei MT800u-T; or ZyXEL Prestige 623ME-T1, 643, 662HW-61, 782, or 2602R-61",96
101.108.252.8,,"ZyXEL Prestige 600-series ADSL router",91
101.108.254.212,,"Linux 2.6.9",92
101.108.44.86,,"Linux 2.6.15 - 2.6.27",97
101.108.83.177,,"Huawei Echolife HG520-series ADSL modem",91
101.109.100.64,,"D-Link DWL-624+ or DWL-2000AP, or TRENDnet TEW-432BRP WAP",87
101.109.1.186,,"Linux 2.6.15 - 2.6.27",97
101.109.146.211,,"Linux 2.6.15 - 2.6.27",97
101.109.208.121,,"Microsoft Windows Server 2003 SP2",88
101.109.211.35,,"Linksys RV042 router",88
101.109.21.36,,"Linux 2.6.15 - 2.6.27",97
101.109.229.160,,"Linux 2.6.15 - 2.6.27",97
101.109.236.132,,"Riverbed Steelhead 200 proxy server",92
101.109.236.191,,"Riverbed Steelhead 200 proxy server",92
101.109.236.62,,"OpenWrt (Linux 2.4.32)",94
101.109.2.53,,"ADSL router: Huawei MT800u-T; or ZyXEL Prestige 623ME-T1, 643, 662HW-61, 782, or 2602R-61",96
101.109.28.26,,"Linux 2.6.15 - 2.6.27",97
101.109.32.60,,"OpenWrt White Russian 0.9 (Linux 2.4.30)",94
101.225.6.201,,"Microsoft Windows XP SP2 or SP3",96
101.228.156.60,,"OpenWrt (Linux 2.4.32)",94
101.228.162.254,,"Linksys WRV54G WAP",96
101.228.197.193,,"Linksys WRV54G WAP",96
101.228.54.138,,"Linksys WRV54G WAP",96
101.229.249.145,,"Linksys WRV54G WAP",96
101.51.148.85,,"Linux 2.6.32",95
101.51.151.61,,"Riverbed Steelhead 200 proxy server",92
101.51.153.110,,"Riverbed Steelhead 200 proxy server",92
101.51.208.118,,"Linux 2.6.15 - 2.6.27",96
101.51.8.235,,"Linux 2.6.15 - 2.6.27",97
101.66.202.63,,"Microsoft Windows XP SP2",96
101.68.59.30,,"Linux 2.4.33 (embedded)",96
1.0.177.20,,"ZyXEL Prestige 660HW-61 ADSL router (ZyNOS 3.40)",96
101.85.142.162,,"Linksys RV042 router",93
101.85.64.14,,"Linksys WRV54G WAP",96
1.0.197.69,,"OpenWrt (Linux 2.4.32)",94
1.0.218.56,,"OpenWrt (Linux 2.4.32)",94
103.11.153.115,,"Microsoft Windows 7 SP0 - SP1, Windows Server 2008 SP1, or Windows 8",97
103.11.153.122,,"Microsoft Windows 7 SP0 - SP1, Windows Server 2008 SP1, or Windows 8",97
106.1.120.55,,"D-Link DVG-5112S or DVG-6004S VoIP adapter",96
106.112.190.64,,"Microsoft Windows XP SP3",94
106.70.59.246,pa106-70-59-246.pa.nsw.optusnet.com.au,"D-Link DI-504 or DI-704P broadband router, or DI-524 WAP",83
106.70.71.188,pa106-70-71-188.pa.nsw.optusnet.com.au,"Microsoft Windows 2000 SP4 or Windows XP Professional SP1",95
106.70.76.39,pa106-70-76-39.pa.nsw.optusnet.com.au,"Microsoft Windows NT 4.0",98
106.70.90.36,pa106-70-90-36.pa.nsw.optusnet.com.au,"Microsoft Windows 2000 SP4 or Windows XP Professional SP1",93
106.8.126.254,,"Linux 2.4.33 (embedded)",95
